MeetName,CompYear,Level,Event,Median,MedAbsDev,Mean,StdDev
Springtacular,2025,XS,Vault,9.15,0.15,9.136,0.274
Springtacular,2025,XS,Bars,9.25,0.15,9.2,0.322
Springtacular,2025,XS,Beam,9.25,0.25,9.207,0.319
Springtacular,2025,XS,Floor,9.25,0.2,9.217,0.275
Springtacular,2025,XS,All Around,36.8,0.55,36.405,3.092
Springtacular,2025,XG,Vault,9.05,0.225,8.999,0.369
Springtacular,2025,XG,Bars,9.1,0.25,8.989,0.464
Springtacular,2025,XG,Beam,9.15,0.2,9.064,0.406
Springtacular,2025,XG,Floor,9.35,0.15,9.296,0.236
Springtacular,2025,XG,All Around,36.6,0.6,36.186,1.673
Springtacular,2025,3,Vault,8.95,0.2,9.012,0.302
Springtacular,2025,3,Bars,8.975,0.275,8.923,0.445
Springtacular,2025,3,Beam,9.05,0.25,8.898,0.521
Springtacular,2025,3,Floor,9.2,0.2,9.164,0.339
Springtacular,2025,3,All Around,36.175,0.825,35.997,1.185
States,2025,XP,Vault,8.875,0.175,8.864,0.263
States,2025,XP,Bars,8.725,0.475,8.628,0.613
States,2025,XP,Beam,9.0,0.3,8.926,0.432
States,2025,XP,Floor,9.25,0.175,9.195,0.299
States,2025,XP,All Around,35.725,0.775,35.299,2.606
States,2025,4,Vault,9.05,0.175,9.021,0.332
States,2025,4,Bars,9.45,0.225,9.314,0.439
States,2025,4,Beam,9.212,0.338,9.112,0.495
States,2025,4,Floor,8.9,0.25,8.863,0.371
States,2025,4,All Around,36.475,0.775,36.278,1.357
States,2025,XD,Vault,8.925,0.2,8.903,0.334
States,2025,XD,Bars,8.7,0.45,8.544,0.763
States,2025,XD,Beam,9.15,0.35,8.996,0.549
States,2025,XD,Floor,9.15,0.175,9.092,0.339
States,2025,XD,All Around,35.7,1.137,34.407,4.405
States,2025,5,Vault,9.087,0.3,9.064,0.439
States,2025,5,Bars,8.825,0.425,8.802,0.575
States,2025,5,Beam,9.012,0.237,8.936,0.44
States,2025,5,Floor,9.05,0.3,8.961,0.486
States,2025,5,All Around,35.775,1.175,35.372,3.608
States,2025,6,Vault,9.15,0.2,9.127,0.263
States,2025,6,Bars,8.95,0.3,8.848,0.467
States,2025,6,Beam,9.225,0.275,9.109,0.438
States,2025,6,Floor,9.1,0.15,9.075,0.271
States,2025,6,All Around,36.225,0.725,36.113,1.26
States,2025,8,Vault,8.9,0.475,8.865,0.567
States,2025,8,Bars,8.675,0.45,8.396,0.816
States,2025,8,Beam,8.85,0.375,8.851,0.516
States,2025,8,Floor,9.075,0.225,9.044,0.32
States,2025,8,All Around,35.3,1.35,33.602,5.685
Commonwealth Cup,2025,XS,Vault,9.2,0.25,9.115,0.358
Commonwealth Cup,2025,XS,Bars,9.15,0.15,9.134,0.301
Commonwealth Cup,2025,XS,Beam,9.1,0.3,9.065,0.375
Commonwealth Cup,2025,XS,Floor,9.05,0.2,8.994,0.326
Commonwealth Cup,2025,XS,All Around,36.35,0.6,36.146,2.1
Commonwealth Cup,2025,3,Vault,8.9,0.25,8.914,0.396
Commonwealth Cup,2025,3,Bars,9.0,0.35,8.849,0.676
Commonwealth Cup,2025,3,Beam,9.0,0.25,8.96,0.416
Commonwealth Cup,2025,3,Floor,9.0,0.25,8.911,0.508
Commonwealth Cup,2025,3,All Around,35.95,0.85,35.4,2.345
Commonwealth Cup,2025,4,Vault,8.675,0.225,8.627,0.457
Commonwealth Cup,2025,4,Bars,8.55,0.5,8.453,0.734
Commonwealth Cup,2025,4,Beam,9.0,0.3,8.962,0.44
Commonwealth Cup,2025,4,Floor,8.95,0.238,8.871,0.408
Commonwealth Cup,2025,4,All Around,35.112,0.975,34.594,2.824
Commonwealth Cup,2025,5,Vault,9.05,0.25,9.034,0.321
Commonwealth Cup,2025,5,Bars,8.45,0.5,8.302,0.725
Commonwealth Cup,2025,5,Beam,8.75,0.312,8.755,0.504
Commonwealth Cup,2025,5,Floor,8.575,0.425,8.567,0.553
Commonwealth Cup,2025,5,All Around,34.725,1.4,34.307,2.923
Commonwealth Cup,2025,6,Vault,8.825,0.175,8.848,0.228
Commonwealth Cup,2025,6,Bars,8.6,0.425,8.441,0.727
Commonwealth Cup,2025,6,Beam,8.775,0.3,8.711,0.587
Commonwealth Cup,2025,6,Floor,9.05,0.225,9.042,0.307
Commonwealth Cup,2025,6,All Around,35.25,0.9,34.689,2.461
Commonwealth Cup,2025,XP,Vault,8.95,0.2,8.898,0.289
Commonwealth Cup,2025,XP,Bars,8.6,0.4,8.529,0.779
Commonwealth Cup,2025,XP,Beam,9.0,0.4,8.933,0.554
Commonwealth Cup,2025,XP,Floor,9.15,0.15,9.087,0.343
Commonwealth Cup,2025,XP,All Around,35.55,0.8,34.918,2.925
Commonwealth Cup,2025,8,Vault,8.812,0.45,8.688,0.536
Commonwealth Cup,2025,8,Bars,8.638,0.513,8.354,1.038
Commonwealth Cup,2025,8,Beam,8.725,0.375,8.73,0.525
Commonwealth Cup,2025,8,Floor,9.05,0.213,8.911,0.375
Commonwealth Cup,2025,8,All Around,34.7,1.287,32.577,6.546
Commonwealth Cup,2025,XD,Vault,8.9,0.2,8.88,0.269
Commonwealth Cup,2025,XD,Bars,8.5,0.6,8.517,0.786
Commonwealth Cup,2025,XD,Beam,9.012,0.362,8.981,0.504
Commonwealth Cup,2025,XD,Floor,9.1,0.25,9.012,0.416
Commonwealth Cup,2025,XD,All Around,35.45,1.0,33.432,5.893
Commonwealth Cup,2025,XG,Vault,9.1,0.2,9.083,0.298
Commonwealth Cup,2025,XG,Bars,9.0,0.3,8.897,0.49
Commonwealth Cup,2025,XG,Beam,8.8,0.4,8.701,0.742
Commonwealth Cup,2025,XG,Floor,9.2,0.2,9.133,0.29
Commonwealth Cup,2025,XG,All Around,35.85,0.85,35.205,3.661
All American Challenge,2025,XD,Vault,8.95,0.25,8.898,0.297
All American Challenge,2025,XD,Bars,9.225,0.3,9.041,0.693
All American Challenge,2025,XD,Beam,8.9,0.4,8.851,0.555
All American Challenge,2025,XD,Floor,9.2,0.175,9.118,0.299
All American Challenge,2025,XD,All Around,36.175,0.6,35.646,1.872
All American Challenge,2025,XP,Vault,9.0,0.175,9.005,0.262
All American Challenge,2025,XP,Bars,8.7,0.375,8.631,0.519
All American Challenge,2025,XP,Beam,8.75,0.388,8.645,0.559
All American Challenge,2025,XP,Floor,9.2,0.15,9.136,0.591
All American Challenge,2025,XP,All Around,35.562,0.85,34.959,2.702
All American Challenge,2025,XS,Vault,9.25,0.25,9.27,0.369
All American Challenge,2025,XS,Bars,9.3,0.3,9.301,0.401
All American Challenge,2025,XS,Beam,9.25,0.2,9.237,0.326
All American Challenge,2025,XS,Floor,9.15,0.25,9.129,0.327
All American Challenge,2025,XS,All Around,36.95,0.7,36.893,1.18
All American Challenge,2025,XG,Vault,9.05,0.25,9.065,0.379
All American Challenge,2025,XG,Bars,9.05,0.35,8.958,0.595
All American Challenge,2025,XG,Beam,9.05,0.35,8.934,0.509
All American Challenge,2025,XG,Floor,9.25,0.2,9.203,0.325
All American Challenge,2025,XG,All Around,36.0,0.85,35.568,3.739
All American Challenge,2025,3,Vault,9.1,0.2,9.038,0.363
All American Challenge,2025,3,Bars,8.975,0.375,8.853,0.559
All American Challenge,2025,3,Beam,8.875,0.275,8.808,0.446
All American Challenge,2025,3,Floor,9.0,0.3,8.927,0.445
All American Challenge,2025,3,All Around,35.8,0.85,35.572,1.537
All American Challenge,2025,4,Vault,8.95,0.275,8.891,0.394
All American Challenge,2025,4,Bars,8.4,0.375,8.283,0.751
All American Challenge,2025,4,Beam,9.038,0.3,8.973,0.442
All American Challenge,2025,4,Floor,8.888,0.287,8.799,0.521
All American Challenge,2025,4,All Around,35.125,0.9,34.422,3.469
All American Challenge,2025,5,Vault,9.188,0.262,9.197,0.344
All American Challenge,2025,5,Bars,8.175,0.425,7.956,0.855
All American Challenge,2025,5,Beam,8.4,0.25,8.379,0.341
All American Challenge,2025,5,Floor,8.862,0.35,8.75,0.591
All American Challenge,2025,5,All Around,34.275,0.95,33.06,3.988
All American Challenge,2025,6,Vault,9.075,0.175,9.069,0.279
All American Challenge,2025,6,Bars,8.7,0.325,8.562,0.552
All American Challenge,2025,6,Beam,8.762,0.35,8.724,0.456
All American Challenge,2025,6,Floor,9.3,0.15,9.27,0.258
All American Challenge,2025,6,All Around,35.675,0.65,35.134,2.849
All American Challenge,2025,8,Vault,8.425,0.325,8.529,0.502
All American Challenge,2025,8,Bars,8.7,0.45,8.465,0.747
All American Challenge,2025,8,Beam,8.9,0.312,8.804,0.561
All American Challenge,2025,8,Floor,9.212,0.213,9.052,0.475
All American Challenge,2025,8,All Around,34.6,1.113,33.391,5.736
Saratoga Winterfest,2025,XP,Vault,8.812,0.225,8.809,0.309
Saratoga Winterfest,2025,XP,Bars,8.212,0.388,8.221,0.561
Saratoga Winterfest,2025,XP,Beam,8.4,0.45,8.275,0.67
Saratoga Winterfest,2025,XP,Floor,9.25,0.125,9.227,0.206
Saratoga Winterfest,2025,XP,All Around,34.475,0.775,34.115,3.556
Saratoga Winterfest,2025,XG,Vault,8.7,0.25,8.7,0.401
Saratoga Winterfest,2025,XG,Bars,8.875,0.275,8.768,0.525
Saratoga Winterfest,2025,XG,Beam,8.712,0.338,8.671,0.482
Saratoga Winterfest,2025,XG,Floor,9.25,0.125,9.215,0.285
Saratoga Winterfest,2025,XG,All Around,35.5,0.775,35.022,2.693
Saratoga Winterfest,2025,XS,Vault,8.775,0.275,8.68,0.63
Saratoga Winterfest,2025,XS,Bars,9.15,0.2,9.11,0.337
Saratoga Winterfest,2025,XS,Beam,8.85,0.25,8.896,0.409
Saratoga Winterfest,2025,XS,Floor,9.225,0.175,9.216,0.264
Saratoga Winterfest,2025,XS,All Around,35.95,0.725,35.826,1.461
Saratoga Winterfest,2025,5,Vault,8.825,0.15,8.683,0.339
Saratoga Winterfest,2025,5,Bars,8.2,0.887,8.096,0.915
Saratoga Winterfest,2025,5,Beam,8.675,0.687,8.392,0.941
Saratoga Winterfest,2025,5,Floor,8.862,0.338,8.838,0.589
Saratoga Winterfest,2025,5,All Around,34.062,0.775,34.008,2.218
Saratoga Winterfest,2025,XD,Vault,8.6,0.2,8.615,0.319
Saratoga Winterfest,2025,XD,Bars,8.4,0.6,8.252,0.726
Saratoga Winterfest,2025,XD,Beam,8.65,0.4,8.449,0.679
Saratoga Winterfest,2025,XD,Floor,9.25,0.175,9.146,0.318
Saratoga Winterfest,2025,XD,All Around,34.738,0.938,33.618,4.816
Saratoga Winterfest,2025,8,Vault,8.55,0.5,8.48,0.585
Saratoga Winterfest,2025,8,Bars,8.6,0.65,8.403,1.027
Saratoga Winterfest,2025,8,Beam,8.825,0.475,8.612,0.872
Saratoga Winterfest,2025,8,Floor,9.138,0.212,9.03,0.356
Saratoga Winterfest,2025,8,All Around,34.55,1.75,33.128,5.412
Saratoga Winterfest,2025,6,Vault,8.8,0.225,8.803,0.292
Saratoga Winterfest,2025,6,Bars,8.55,0.463,8.371,0.729
Saratoga Winterfest,2025,6,Beam,8.762,0.438,8.715,0.616
Saratoga Winterfest,2025,6,Floor,9.225,0.175,9.188,0.281
Saratoga Winterfest,2025,6,All Around,35.375,1.0,34.679,2.635
Saratoga Winterfest,2025,4,Vault,8.725,0.375,8.691,0.582
Saratoga Winterfest,2025,4,Bars,8.75,0.45,8.659,0.761
Saratoga Winterfest,2025,4,Beam,8.7,0.275,8.571,0.667
Saratoga Winterfest,2025,4,Floor,9.0,0.25,8.886,0.473
Saratoga Winterfest,2025,4,All Around,35.287,1.138,34.427,2.899
Saratoga Winterfest,2025,3,Vault,9.15,0.25,9.04,0.383
Saratoga Winterfest,2025,3,Bars,9.225,0.325,9.135,0.506
Saratoga Winterfest,2025,3,Beam,8.6,0.425,8.529,0.672
Saratoga Winterfest,2025,3,Floor,8.925,0.275,8.853,0.479
Saratoga Winterfest,2025,3,All Around,35.725,1.062,35.256,2.695
Cape Cod Classic,2025,4,Vault,8.675,0.312,8.597,0.468
Cape Cod Classic,2025,4,Bars,8.488,0.462,8.433,0.679
Cape Cod Classic,2025,4,Beam,8.775,0.425,8.68,0.515
Cape Cod Classic,2025,4,Floor,8.975,0.225,8.964,0.377
Cape Cod Classic,2025,4,All Around,34.575,1.225,34.273,2.429
Cape Cod Classic,2025,6,Vault,8.837,0.237,8.833,0.311
Cape Cod Classic,2025,6,Bars,9.0,0.362,8.869,0.651
Cape Cod Classic,2025,6,Beam,8.95,0.3,8.886,0.474
Cape Cod Classic,2025,6,Floor,9.388,0.137,9.373,0.233
Cape Cod Classic,2025,6,All Around,36.262,0.925,35.796,1.781
Cape Cod Classic,2025,5,Vault,8.775,0.3,8.737,0.403
Cape Cod Classic,2025,5,Bars,8.288,0.463,8.36,0.588
Cape Cod Classic,2025,5,Beam,8.15,0.3,8.106,0.561
Cape Cod Classic,2025,5,Floor,9.05,0.2,8.914,0.267
Cape Cod Classic,2025,5,All Around,32.95,1.55,32.102,3.735
Cape Cod Classic,2025,8,Vault,8.55,0.5,8.637,0.543
Cape Cod Classic,2025,8,Bars,8.888,0.562,8.722,0.73
Cape Cod Classic,2025,8,Beam,8.5,0.35,8.4,0.535
Cape Cod Classic,2025,8,Floor,9.15,0.1,9.088,0.352
Cape Cod Classic,2025,8,All Around,35.175,0.525,34.388,2.404
Cape Cod Classic,2025,3,Vault,8.9,0.3,8.818,0.45
Cape Cod Classic,2025,3,Bars,9.0,0.3,8.858,0.534
Cape Cod Classic,2025,3,Beam,9.0,0.3,8.938,0.525
Cape Cod Classic,2025,3,Floor,8.825,0.3,8.632,0.579
Cape Cod Classic,2025,3,All Around,35.45,1.0,34.921,3.273
Cape Cod Classic,2025,XD,Vault,9.25,0.125,9.192,0.262
Cape Cod Classic,2025,XD,Bars,8.6,0.4,8.708,0.515
Cape Cod Classic,2025,XD,Beam,8.875,0.375,8.858,0.432
Cape Cod Classic,2025,XD,Floor,9.0,0.2,8.989,0.291
Cape Cod Classic,2025,XD,All Around,35.75,0.85,34.664,3.783
Cape Cod Classic,2025,XS,Vault,8.95,0.25,8.937,0.316
Cape Cod Classic,2025,XS,Bars,9.3,0.15,9.215,0.287
Cape Cod Classic,2025,XS,Beam,9.1,0.2,8.99,0.401
Cape Cod Classic,2025,XS,Floor,9.0,0.2,8.982,0.383
Cape Cod Classic,2025,XS,All Around,36.125,0.575,36.019,1.349
Cape Cod Classic,2025,XG,Vault,9.175,0.225,9.151,0.303
Cape Cod Classic,2025,XG,Bars,9.2,0.2,9.066,0.469
Cape Cod Classic,2025,XG,Beam,8.7,0.4,8.682,0.569
Cape Cod Classic,2025,XG,Floor,9.15,0.2,9.082,0.338
Cape Cod Classic,2025,XG,All Around,36.05,0.9,35.535,3.019
Cape Cod Classic,2025,XP,Vault,8.75,0.2,8.712,0.337
Cape Cod Classic,2025,XP,Bars,9.1,0.35,9.089,0.424
Cape Cod Classic,2025,XP,Beam,8.8,0.3,8.741,0.505
Cape Cod Classic,2025,XP,Floor,9.2,0.15,9.226,0.262
Cape Cod Classic,2025,XP,All Around,35.75,0.8,35.322,2.217
Thompsons Holiday Invitational,2025,XS,Vault,9.0,0.25,9.015,0.326
Thompsons Holiday Invitational,2025,XS,Bars,9.025,0.25,8.978,0.381
Thompsons Holiday Invitational,2025,XS,Beam,9.125,0.225,9.071,0.384
Thompsons Holiday Invitational,2025,XS,Floor,9.05,0.175,9.018,0.295
Thompsons Holiday Invitational,2025,XS,All Around,36.062,0.725,35.73,2.802
Thompsons Holiday Invitational,2025,XG,Vault,8.8,0.225,8.773,0.331
Thompsons Holiday Invitational,2025,XG,Bars,8.7,0.45,8.645,0.675
Thompsons Holiday Invitational,2025,XG,Beam,8.9,0.3,8.806,0.501
Thompsons Holiday Invitational,2025,XG,Floor,9.1,0.2,9.068,0.335
Thompsons Holiday Invitational,2025,XG,All Around,35.325,0.85,35.137,2.199
Thompsons Holiday Invitational,2025,XP,Vault,8.65,0.175,8.612,0.294
Thompsons Holiday Invitational,2025,XP,Bars,8.5,0.35,8.537,0.565
Thompsons Holiday Invitational,2025,XP,Beam,8.65,0.4,8.672,0.561
Thompsons Holiday Invitational,2025,XP,Floor,9.25,0.15,9.181,0.308
Thompsons Holiday Invitational,2025,XP,All Around,35.025,0.825,34.545,2.726
Thompsons Holiday Invitational,2025,4,Vault,8.775,0.225,8.76,0.393
Thompsons Holiday Invitational,2025,4,Bars,8.375,0.4,8.348,0.659
Thompsons Holiday Invitational,2025,4,Beam,8.7,0.375,8.651,0.512
Thompsons Holiday Invitational,2025,4,Floor,8.5,0.4,8.425,0.681
Thompsons Holiday Invitational,2025,4,All Around,34.2,1.05,34.069,1.916
Thompsons Holiday Invitational,2025,5,Vault,8.95,0.288,8.92,0.371
Thompsons Holiday Invitational,2025,5,Bars,8.1,0.1,8.154,0.249
Thompsons Holiday Invitational,2025,5,Beam,8.4,0.3,8.404,0.443
Thompsons Holiday Invitational,2025,5,Floor,8.4,0.2,8.584,0.371
Thompsons Holiday Invitational,2025,5,All Around,34.038,0.9,34.061,0.897
Thompsons Holiday Invitational,2025,6,Vault,9.15,0.25,9.071,0.32
Thompsons Holiday Invitational,2025,6,Bars,8.275,0.275,8.36,0.487
Thompsons Holiday Invitational,2025,6,Beam,8.6,0.25,8.62,0.41
Thompsons Holiday Invitational,2025,6,Floor,8.925,0.175,8.958,0.325
Thompsons Holiday Invitational,2025,6,All Around,35.075,0.925,34.7,2.004
Thompsons Holiday Invitational,2025,8,Vault,8.525,0.325,8.548,0.541
Thompsons Holiday Invitational,2025,8,Bars,8.3,0.4,8.38,0.558
Thompsons Holiday Invitational,2025,8,Beam,8.625,0.288,8.541,0.463
Thompsons Holiday Invitational,2025,8,Floor,8.725,0.4,8.623,0.499
Thompsons Holiday Invitational,2025,8,All Around,34.2,0.75,32.965,4.736
Thompsons Holiday Invitational,2025,XD,Vault,8.675,0.287,8.701,0.323
Thompsons Holiday Invitational,2025,XD,Bars,8.425,0.525,8.478,0.637
Thompsons Holiday Invitational,2025,XD,Beam,8.625,0.4,8.555,0.604
Thompsons Holiday Invitational,2025,XD,Floor,8.888,0.2,8.911,0.348
Thompsons Holiday Invitational,2025,XD,All Around,34.45,0.975,34.644,1.326
Regionals,2024,XP,Vault,9.05,0.225,9.01,0.377
Regionals,2024,XP,Bars,9.175,0.2,9.07,0.413
Regionals,2024,XP,Beam,9.2,0.2,9.142,0.347
Regionals,2024,XP,Floor,9.325,0.175,9.3,0.246
Regionals,2024,XP,All Around,36.6,0.5,36.358,1.895
States,2024,3,Vault,9.15,0.2,9.131,0.313
States,2024,3,Bars,8.9,0.25,8.795,0.51
States,2024,3,Beam,8.9,0.4,8.807,0.585
States,2024,3,Floor,8.95,0.3,8.856,0.544
States,2024,3,All Around,35.8,0.925,35.589,1.514
States,2024,XS,Vault,9.05,0.2,9.023,0.297
States,2024,XS,Bars,9.225,0.225,9.196,0.322
States,2024,XS,Beam,9.15,0.2,9.105,0.34
States,2024,XS,Floor,9.125,0.2,9.077,0.316
States,2024,XS,All Around,36.475,0.675,36.285,1.776
States,2024,XG,Vault,8.85,0.25,8.832,0.367
States,2024,XG,Bars,9.15,0.25,9.037,0.441
States,2024,XG,Beam,9.05,0.3,8.968,0.441
States,2024,XG,Floor,9.2,0.2,9.171,0.338
States,2024,XG,All Around,36.15,0.75,35.897,1.698
States,2024,XP,Vault,8.925,0.15,8.924,0.225
States,2024,XP,Bars,8.85,0.375,8.795,0.514
States,2024,XP,Beam,8.9,0.3,8.781,0.532
States,2024,XP,Floor,9.15,0.175,9.102,0.314
States,2024,XP,All Around,35.65,0.75,35.184,3.169
Springtacular,2024,3,Vault,9.05,0.3,8.958,0.402
Springtacular,2024,3,Bars,8.7,0.5,8.656,0.723
Springtacular,2024,3,Beam,8.75,0.25,8.612,0.57
Springtacular,2024,3,Floor,9.0,0.2,8.757,0.702
Springtacular,2024,3,All Around,35.4,1.1,34.983,1.942
States,2024,4,Vault,9.0,0.225,8.974,0.351
States,2024,4,Bars,8.7,0.45,8.681,0.614
States,2024,4,Beam,9.0,0.3,8.946,0.421
States,2024,4,Floor,9.012,0.238,8.963,0.369
States,2024,4,All Around,35.6,0.95,35.496,1.807
States,2024,5,Vault,9.0,0.2,8.973,0.307
States,2024,5,Bars,8.7,0.475,8.552,0.725
States,2024,5,Beam,8.8,0.375,8.744,0.483
States,2024,5,Floor,9.1,0.25,9.017,0.423
States,2024,5,All Around,35.4,1.025,34.99,2.736
States,2024,8,Vault,8.938,0.375,8.77,0.557
States,2024,8,Bars,8.425,0.525,8.356,0.807
States,2024,8,Beam,9.0,0.275,8.845,0.483
States,2024,8,Floor,9.125,0.175,9.078,0.306
States,2024,8,All Around,34.862,1.45,32.959,6.859
States,2024,XD,Vault,8.837,0.188,8.833,0.331
States,2024,XD,Bars,8.6,0.525,8.492,0.788
States,2024,XD,Beam,8.888,0.338,8.771,0.549
States,2024,XD,Floor,9.275,0.15,9.204,0.426
States,2024,XD,All Around,35.45,0.975,34.512,3.875
Commonwealth Cup,2024,XS,Vault,9.0,0.2,8.974,0.318
Commonwealth Cup,2024,XS,Bars,9.15,0.2,9.112,0.343
Commonwealth Cup,2024,XS,Beam,9.1,0.2,9.071,0.345
Commonwealth Cup,2024,XS,Floor,9.1,0.2,9.067,0.346
Commonwealth Cup,2024,XS,All Around,36.3,0.65,35.9,2.832
Commonwealth Cup,2024,XD,Vault,8.75,0.25,8.742,0.39
Commonwealth Cup,2024,XD,Bars,8.95,0.35,8.754,0.658
Commonwealth Cup,2024,XD,Beam,8.9,0.3,8.816,0.625
Commonwealth Cup,2024,XD,Floor,9.2,0.2,9.165,0.299
Commonwealth Cup,2024,XD,All Around,35.5,0.8,33.894,5.335
Commonwealth Cup,2024,3,Vault,9.2,0.2,9.11,0.364
Commonwealth Cup,2024,3,Bars,8.95,0.35,8.795,0.695
Commonwealth Cup,2024,3,Beam,8.8,0.35,8.679,0.656
Commonwealth Cup,2024,3,Floor,8.75,0.35,8.595,0.69
Commonwealth Cup,2024,3,All Around,35.5,1.1,35.09,2.161
Commonwealth Cup,2024,XG,Vault,9.0,0.2,8.953,0.363
Commonwealth Cup,2024,XG,Bars,8.9,0.4,8.793,0.594
Commonwealth Cup,2024,XG,Beam,8.9,0.3,8.812,0.461
Commonwealth Cup,2024,XG,Floor,9.15,0.15,9.098,0.339
Commonwealth Cup,2024,XG,All Around,35.85,0.85,35.225,3.134
Commonwealth Cup,2024,XP,Vault,9.1,0.15,9.059,0.286
Commonwealth Cup,2024,XP,Bars,8.9,0.35,8.778,0.596
Commonwealth Cup,2024,XP,Beam,8.95,0.3,8.848,0.484
Commonwealth Cup,2024,XP,Floor,9.1,0.15,9.084,0.272
Commonwealth Cup,2024,XP,All Around,35.95,0.7,35.106,3.322
Commonwealth Cup,2024,4,Vault,8.7,0.25,8.691,0.431
Commonwealth Cup,2024,4,Bars,8.6,0.45,8.511,0.654
Commonwealth Cup,2024,4,Beam,8.9,0.3,8.825,0.439
Commonwealth Cup,2024,4,Floor,9.225,0.225,9.128,0.41
