MeetName,CompYear,Level,Event,Median,MedAbsDev,Mean,StdDev
Saratoga Winterfest,2024,3,Vault,8.8,0.3,8.702,0.515
Saratoga Winterfest,2024,3,Bars,9.05,0.3,8.861,0.581
Saratoga Winterfest,2024,3,Beam,8.9,0.312,8.747,0.628
Saratoga Winterfest,2024,3,Floor,9.0,0.325,8.848,0.684
Saratoga Winterfest,2024,3,All Around,35.875,0.825,35.18,1.987
Saratoga Winterfest,2024,4,Vault,8.6,0.25,8.625,0.41
Saratoga Winterfest,2024,4,Bars,8.65,0.45,8.642,0.733
Saratoga Winterfest,2024,4,Beam,8.9,0.287,8.784,0.508
Saratoga Winterfest,2024,4,Floor,9.125,0.263,8.943,0.878
Saratoga Winterfest,2024,4,All Around,35.25,1.0,35.013,1.71
Saratoga Winterfest,2024,5,Vault,9.0,0.275,8.927,0.322
Saratoga Winterfest,2024,5,Bars,8.45,0.55,8.35,0.779
Saratoga Winterfest,2024,5,Beam,8.425,0.275,8.391,0.465
Saratoga Winterfest,2024,5,Floor,9.2,0.25,9.026,0.462
Saratoga Winterfest,2024,5,All Around,34.8,1.0,34.77,1.504
Saratoga Winterfest,2024,6,Vault,8.725,0.2,8.755,0.322
Saratoga Winterfest,2024,6,Bars,8.85,0.35,8.814,0.515
Saratoga Winterfest,2024,6,Beam,8.9,0.25,8.859,0.448
Saratoga Winterfest,2024,6,Floor,9.5,0.15,9.443,0.249
Saratoga Winterfest,2024,6,All Around,35.8,0.575,35.913,1.143
Saratoga Winterfest,2024,8,Vault,8.825,0.5,8.795,0.527
Saratoga Winterfest,2024,8,Bars,8.6,0.5,8.446,0.816
Saratoga Winterfest,2024,8,Beam,8.75,0.438,8.655,0.582
Saratoga Winterfest,2024,8,Floor,9.35,0.15,9.288,0.372
Saratoga Winterfest,2024,8,All Around,35.625,1.4,35.265,1.556
Saratoga Winterfest,2024,XS,Vault,8.837,0.2,8.838,0.309
Saratoga Winterfest,2024,XS,Bars,9.275,0.175,9.224,0.33
Saratoga Winterfest,2024,XS,Beam,9.0,0.25,8.94,0.384
Saratoga Winterfest,2024,XS,Floor,9.1,0.175,9.044,0.302
Saratoga Winterfest,2024,XS,All Around,36.088,0.587,36.045,0.924
Saratoga Winterfest,2024,XG,Vault,8.7,0.15,8.698,0.276
Saratoga Winterfest,2024,XG,Bars,9.2,0.325,9.095,0.49
Saratoga Winterfest,2024,XG,Beam,8.5,0.4,8.405,0.792
Saratoga Winterfest,2024,XG,Floor,9.0,0.175,8.965,0.298
Saratoga Winterfest,2024,XG,All Around,35.425,0.75,35.163,1.241
Saratoga Winterfest,2024,XP,Vault,8.65,0.188,8.667,0.276
Saratoga Winterfest,2024,XP,Bars,8.375,0.525,8.486,0.709
Saratoga Winterfest,2024,XP,Beam,8.45,0.475,8.325,0.707
Saratoga Winterfest,2024,XP,Floor,9.0,0.125,8.935,0.22
Saratoga Winterfest,2024,XP,All Around,34.475,0.9,34.45,1.305
Saratoga Winterfest,2024,XD,Vault,8.65,0.2,8.701,0.306
Saratoga Winterfest,2024,XD,Bars,8.375,0.575,8.294,0.796
Saratoga Winterfest,2024,XD,Beam,8.375,0.425,8.365,0.774
Saratoga Winterfest,2024,XD,Floor,9.15,0.2,9.088,0.311
Saratoga Winterfest,2024,XD,All Around,34.625,0.925,34.449,1.656
